order_number,item_number,product_name,item_sales_units
22988160405,22001,Dish Soap ,1
22988160405,11005,2 Pack Gluten Free Yellow Cheddar Macaroni & Cheese,1
22988160405,14021,Organic Chocolate Creme Cookies,1
22988160405,31010,2 Pack Lip Balm,1
22985970207,22001,Dish Soap ,1
22985970207,11004,Organic Crunchy Peanut Butter,1
22985970207,11062,Thai Peanut Cooking Sauce,1
22985970207,11025,Organic Extra Virgin Olive Oil,1
22985970207,11043,Organic Oats & Honey Granola,1
22973692163,11016,Organic Virgin Coconut Oil,1
22973692163,31008,Gel Hand Soap,1
22973692163,12017,Organic Unbleached All-Purpose Wheat Flour,1
22973692163,11058,Organic Roasted Garlic Pasta Sauce,1
22973692163,11026,Organic Balsamic Vinegar of Modena,1
22973692163,11037,Organic Mayo,1
22973692163,14011,Toasted Coconut Cookie Thins,1
22973692163,11029,Organic Raw Apple Cider Vinegar,1
22973692163,11057,Organic Arrabbiata Pasta Sauce,1
22973692163,11056,Organic Tomato Basil Pasta Sauce,1
22973692163,11052,Organic Sesame Ginger Dressing & Marinade,1
22973692163,11025,Organic Extra Virgin Olive Oil,1
22973692163,53008,Silicone Slotted Turner,1
22973692163,11049,Organic Teriyaki Sauce & Marinade ,1
22973692163,11007,Organic Yellow Mustard,1
22973692163,11008,Organic Dijon Mustard,1
22973692163,12013,2pk Organic Taco Seasoning Packet,1
22973692163,11051,Organic Balsamic Vinaigrette Dressing,1
22973692163,11060,Organic Texas Style Barbecue Sauce,1
22973692163,11024,Organic Ketchup,1
22964566200,14035,Organic Crushed Pepper & Truffle Oil Popcorn,1
22964566200,22001,Dish Soap ,1
22964566200,11004,Organic Crunchy Peanut Butter,1
22964566200,13003,Organic Fair Trade Dark Roast Espresso Capsules,2
22964566200,11016,Organic Virgin Coconut Oil,1
22964566200,14010,Vegetable Chips,1
22964566200,14034,Fig & Thyme Crisps,1
22964566200,13007,Organic Green Tea,1
22964566200,11028,Organic Blackberry Fruit Spread,1
22964566200,11001,Organic Honey,1
22964566200,11011,Organic Quinoa,2
22964566200,11025,Organic Extra Virgin Olive Oil,1
22964566200,13004,Organic Fair Trade Medium Roast Ground Coffee,1
22964566200,11043,Organic Oats & Honey Granola,1
22964566200,11020,Organic Garbanzo Beans,1
22964566200,14033,Cranberry & Oat Crisps,1
22964566200,53020,Paring Knife,1
22964566200,33002,Peppermint Mouthwash,1
22964566200,33001,Peppermint Toothpaste,1
22964566200,53008,Silicone Slotted Turner,1
22964566200,14013,Sea Salt Quinoa Chips,1
22964566200,14008,Organic Olive Oil & Sea Salt Popcorn,1
22963208188,22001,Dish Soap ,1
22963208188,13004,Organic Fair Trade Medium Roast Ground Coffee,1
22963208188,31008,Gel Hand Soap,1
22963208188,11045,Vanilla Cocoa Granola,1
22963208188,11009,2 Pack Organic Shells & Yellow Cheddar,1
22963208188,11021,Organic Maple Syrup,1
22963208188,11015,Organic Applesauce Pouches,1
22963208188,12013,2pk Organic Taco Seasoning Packet,1
22959908102,11015,Organic Applesauce Pouches,2
22952644357,14012,Chocolate Chip Cookie Thins,3
22952644357,14035,Organic Crushed Pepper & Truffle Oil Popcorn,2
22952644357,14015,Spicy Jalapeño & Cheddar Flavored Quinoa Puffs,3
22952644357,14007,Organic Blue Corn Tortilla Chips,1
22952644357,14010,Vegetable Chips,1
22952644357,11030,Organic Peanut Powder,1
22952644357,11044,Blueberry Flax Granola,1
22952644357,11015,Organic Applesauce Pouches,1
22952644357,11003,Organic Creamy Peanut Butter,1
22952644357,14004,Gummy Fruit Wedges,1
22952644357,14011,Toasted Coconut Cookie Thins,1
22952644357,14016,Organic Honey Graham Crackers,1
22952644357,14014,White Cheddar Flavored Quinoa Puffs,2
22952644357,14003,Gummy Fish,1
22952644357,14022,Organic Whole Wheat Animal Cookies,1
22952644357,14005,Sour Gummy Worms,1
22952644357,11043,Organic Oats & Honey Granola,1
22952644357,14013,Sea Salt Quinoa Chips,2
22952644357,14008,Organic Olive Oil & Sea Salt Popcorn,1
22947413214,14012,Chocolate Chip Cookie Thins,2
22947413214,53005,Silicone Serving Spoon,1
