order_number,user_id,completed_time,items_ordered
4646052992,34918.0,2017-07-26 09:13:06,10
13248106214,14043003.0,2017-08-07 13:55:26,11
19718453955,14051180.0,2017-08-07 14:05:35,13
2934108620,11771123.0,2017-08-01 12:15:07,6
13088380460,14099358.0,2017-08-10 10:22:05,24
4018764723,12860211.0,2017-08-05 15:57:42,6
7476044545,16744949.0,2017-08-11 15:37:58,10
4047872948,10987015.0,2017-07-30 08:00:38,22
6548336555,1165996.0,2017-07-29 12:18:55,13
17001609223,14543789.0,2017-08-08 04:47:07,15
2600885586,15681497.0,2017-08-09 08:50:07,15
8064655554,3636113.0,2017-08-11 19:50:11,7
14220825618,14418703.0,2017-08-07 21:47:11,8
3456708548,10429432.0,2017-07-24 12:04:49,6
2232641050,11982399.0,2017-08-03 08:38:25,4
1847949237,3062176.0,2017-07-25 12:15:06,11
20214675712,14247207.0,2017-08-07 17:57:45,11
849648773,11297962.0,2017-08-05 16:23:05,24
17402132396,8506290.0,2017-07-25 08:53:00,3
7762986611,14988441.0,2017-08-08 12:46:33,26
7752869762,15158611.0,2017-08-08 16:16:10,20
17065616084,11119173.0,2017-07-27 04:33:44,5
16844091055,12031019.0,2017-08-03 14:44:51,6
15907848846,11866816.0,2017-08-09 11:34:20,17
16738398465,15691221.0,2017-08-09 08:56:42,5
11647574877,13605644.0,2017-08-07 02:26:47,17
12250285691,14859598.0,2017-08-08 09:54:37,24
17330036527,14705340.0,2017-08-08 07:51:00,12
11939355476,11787698.0,2017-08-01 14:45:53,5
12289878650,13321880.0,2017-08-06 17:16:56,7
16816369224,12744628.0,2017-08-05 11:36:42,7
19649304478,10808889.0,2017-07-25 19:46:20,4
11294199312,21437.0,2017-07-24 09:33:19,21
18722844951,14870427.0,2017-08-08 10:11:31,9
9696928363,13204971.0,2017-08-06 14:14:28,7
14989887980,15107118.0,2017-08-08 14:42:00,7
13028627932,14620697.0,2017-08-08 06:37:32,8
4244711226,11798085.0,2017-08-01 16:52:12,3
13392182515,3057756.0,2017-08-01 12:18:24,18
16174953159,11258403.0,2017-07-27 22:32:55,6
10209026307,11524266.0,2017-07-30 13:26:47,32
5330663655,12496003.0,2017-08-05 06:06:53,7
14272621802,13837694.0,2017-08-07 10:20:43,7
5415943975,15231099.0,2017-08-08 17:11:37,4
1123444867,13441883.0,2017-08-06 19:41:46,13
6968233893,12915682.0,2017-08-05 22:40:04,20
17086545417,13611611.0,2017-08-07 03:04:36,6
20727557772,12769601.0,2017-08-05 12:14:09,12
15652906082,16579420.0,2017-08-11 05:53:43,8
15004459998,9827870.0,2017-07-24 14:57:19,39
19763782079,16522844.0,2017-08-10 21:39:37,11
10084902207,11706370.0,2017-07-31 19:50:59,12
11776779677,12015328.0,2017-08-03 12:45:53,15
19027193302,11488906.0,2017-07-30 09:59:08,7
20430459159,10965136.0,2017-07-26 10:56:10,7
4789828890,14349972.0,2017-08-07 20:04:14,7
7241861098,10920936.0,2017-07-26 08:10:48,11
17910421172,10589436.0,2017-07-27 12:09:57,5
7115980212,16345381.0,2017-08-10 12:47:40,22
13012329971,14135160.0,2017-08-07 15:47:09,14
16259298092,15609009.0,2017-08-09 07:15:00,11
22300804232,2782169.0,2017-08-07 09:24:06,18
18391749302,12224836.0,2017-08-04 13:03:19,16
21543352362,11809798.0,2017-08-01 18:51:12,6
13376088817,16285711.0,2017-08-10 10:16:15,13
20638499771,16119519.0,2017-08-09 23:11:57,10
3539906931,11743277.0,2017-08-01 08:21:42,8
5222276914,16791359.0,2017-08-11 19:34:23,15
10614241756,10588994.0,2017-07-28 15:47:22,14
20325308725,12758993.0,2017-08-05 11:58:55,6
10697639043,14061125.0,2017-08-07 14:21:34,4
8628066567,16058523.0,2017-08-09 20:26:13,11
2721173286,10637614.0,2017-07-25 08:57:41,17
21367608442,14631526.0,2017-08-08 07:20:59,9
21072267259,13741117.0,2017-08-07 07:55:41,27
8722944672,16252340.0,2017-08-10 09:07:07,4
1754700659,11764714.0,2017-08-01 11:08:07,9
11509864194,11243375.0,2017-07-27 19:53:27,15
8783290922,11691784.0,2017-07-31 18:07:05,27
6733635434,10739716.0,2017-07-25 15:16:55,10
15902113681,15546024.0,2017-08-09 05:21:19,7
5120778811,12039859.0,2017-08-03 16:07:49,10
1856876802,14686555.0,2017-08-08 08:17:17,5
20868185315,13307515.0,2017-08-06 16:57:51,15
9828415039,84643.0,2017-07-31 17:21:52,19
12059235593,12213344.0,2017-08-04 12:34:38,9
11097621486,11308349.0,2017-07-28 17:24:43,14
8633746417,11760957.0,2017-08-01 10:39:48,25
19416657523,12481196.0,2017-08-05 05:30:38,20
17184759373,326859.0,2017-08-04 07:42:50,13
16413732397,11337079.0,2017-07-28 14:03:36,15
1672422713,28730.0,2017-08-08 14:31:30,20
11875657712,12959219.0,2017-08-06 06:01:42,7
3443521291,16176758.0,2017-08-11 08:39:56,25
194355865,12704406.0,2017-08-05 10:43:48,50
6450511598,10687781.0,2017-07-25 11:50:31,13
14218929061,14159691.0,2017-08-07 16:18:50,11
7842431026,11692447.0,2017-07-31 18:18:30,15
15215525156,11304813.0,2017-07-28 09:23:49,5
6004167549,11406473.0,2017-07-29 12:05:41,13
5088842897,10943478.0,2017-07-26 09:36:54,18
2847578710,13079001.0,2017-08-06 11:02:23,21
22775010021,15508012.0,2017-08-09 03:36:37,5
13323116804,10432968.0,2017-07-24 12:22:55,32
12817926864,12732915.0,2017-08-05 11:37:25,23
22430279236,14768104.0,2017-08-08 08:39:20,8
11083111223,13371605.0,2017-08-07 05:26:06,14
14580614342,12444731.0,2017-08-05 02:11:07,7
3970904299,11266801.0,2017-07-28 02:14:27,5
1784377467,14827332.0,2017-08-08 09:27:31,17
3224637743,11128013.0,2017-08-05 06:36:22,6
22281509900,11337742.0,2017-07-28 14:07:18,5
15508707122,12526280.0,2017-08-05 06:55:07,64
5578474694,13530504.0,2017-08-06 22:22:20,9
9902602275,15621385.0,2017-08-09 07:31:19,12
312119407,15559505.0,2017-08-09 05:59:41,29
8699048868,10467223.0,2017-07-24 14:21:54,8
17759933966,11086023.0,2017-07-26 21:06:20,21
4725329139,8940555.0,2017-07-27 14:38:16,11
15188521776,12864852.0,2017-08-05 16:14:18,10
18515105340,11959194.0,2017-08-02 23:42:22,13
3068921050,11128897.0,2017-07-27 06:38:38,4
5300927507,15283476.0,2017-08-08 18:22:42,11
19989259566,10717174.0,2017-07-25 13:22:19,3
10788816034,16620526.0,2017-08-11 07:59:30,6
2541196929,10613967.0,2017-07-25 07:06:08,14
8580359438,12027483.0,2017-08-03 14:02:24,18
5375742551,11796538.0,2017-08-01 16:20:45,15
20518639687,12746617.0,2017-08-05 11:43:51,8
13317689793,10424128.0,2017-07-27 17:20:40,8
5925859104,14430195.0,2017-08-07 22:06:30,13
22872823455,10362690.0,2017-07-24 08:20:02,11
13783604542,15860728.0,2017-08-09 13:02:35,16
15242222521,11375754.0,2017-07-29 02:20:28,12
3961167571,10020803.0,2017-07-27 08:23:58,15
247846781,6890559.0,2017-08-01 14:18:38,17
8136463693,3445390.0,2017-08-11 11:14:14,10
16714948562,15205684.0,2017-08-08 16:37:53,5
5485899855,14349751.0,2017-08-07 20:02:38,14
21577665947,12461306.0,2017-08-06 15:46:42,12
19569434494,177684.0,2017-07-31 07:51:27,7
17294147396,13564759.0,2017-08-06 23:07:21,2
17981752314,11120499.0,2017-07-27 05:07:51,18
9650742661,6188.0,2017-07-25 18:28:19,18
22260104950,8668283.0,2017-08-03 11:55:15,15
2195863222,13050713.0,2017-08-06 10:04:47,11
11745415083,12391912.0,2017-08-08 05:58:42,4
18719451117,7223385.0,2017-08-01 21:25:02,12
1271933051,5901363.0,2017-08-10 15:42:28,21
20934086732,12677444.0,2017-08-05 10:03:22,9
8446802279,13738907.0,2017-08-07 07:51:15,12
22959908102,11803610.0,2017-08-01 17:48:52,2
13721616391,15517736.0,2017-08-09 03:52:12,7
4392010954,11287575.0,2017-07-31 14:25:28,5
3507085356,9176804.0,2017-08-08 19:07:01,11
10362325033,10555844.0,2017-07-24 20:32:21,4
13928940162,2876536.0,2017-08-08 09:38:50,6
680704642,11210667.0,2017-07-27 15:35:53,7
11908550748,13732940.0,2017-08-07 07:47:04,10
15283075581,14649206.0,2017-08-08 07:10:32,14
16801174366,2195414.0,2017-07-29 10:13:06,13
8638660666,13864435.0,2017-08-07 10:50:37,15
2127337091,16496545.0,2017-08-10 20:08:14,9
15258710738,11126466.0,2017-07-27 06:06:42,4
6940378961,14137149.0,2017-08-07 16:39:45,16
9103771657,16152227.0,2017-08-10 04:21:29,3
3955350641,7254104.0,2017-07-25 18:04:27,21
17362347548,16241953.0,2017-08-10 09:36:18,35
20390086339,14933633.0,2017-08-08 11:09:20,11
4771789254,14636167.0,2017-08-08 06:47:33,13
18140294580,14319253.0,2017-08-07 19:19:36,10
16408406425,9026966.0,2017-08-07 17:36:27,12
12713269251,14639703.0,2017-08-08 06:51:22,13
4016848271,14825343.0,2017-08-11 23:22:49,14
11628123846,15536521.0,2017-08-09 04:59:13,6
5044512122,11956321.0,2017-08-02 22:12:10,12
680440694,6430216.0,2017-08-10 10:37:40,16
9917141564,11614434.0,2017-07-31 08:59:47,5
11331805853,656370.0,2017-08-10 12:57:17,15
16918078467,8350927.0,2017-07-26 19:28:08,10
19533824905,3707054.0,2017-07-30 09:19:37,21
1213714186,11507028.0,2017-07-30 11:08:18,5
13334406308,12563187.0,2017-08-05 07:45:24,13
958391968,11548355.0,2017-07-30 17:36:12,9
16374660112,7017192.0,2017-08-06 23:53:28,17
4938766816,14043666.0,2017-08-07 13:57:22,33
9827005898,2652884.0,2017-08-10 15:52:17,13
9164011026,12871482.0,2017-08-05 16:52:15,19
10704945752,1862146.0,2017-08-07 11:49:09,17
2771776598,13844103.0,2017-08-07 10:17:57,4
5230568230,12000079.0,2017-08-03 10:57:46,8
21118783885,1571310.0,2017-07-24 04:35:21,6
10785162231,1752972.0,2017-08-07 06:07:42,7
13692985278,16579641.0,2017-08-11 13:05:25,14
20772865173,16498755.0,2017-08-10 20:21:08,12
4267479524,11454872.0,2017-07-30 01:07:25,9
9658519283,13689182.0,2017-08-07 06:45:46,20
20939508361,10719826.0,2017-07-25 13:41:45,3
20303813615,10117601.0,2017-08-01 06:09:07,3
17091552908,15923271.0,2017-08-09 15:05:42,7
21833760873,14676831.0,2017-08-08 07:55:23,8
8067319506,14687660.0,2017-08-08 07:33:37,15
10698140535,10616177.0,2017-08-01 07:37:15,16
13476223871,9339018.0,2017-08-03 05:08:35,6
9650078467,5746442.0,2017-07-24 15:55:57,10
7966723739,12784408.0,2017-08-05 12:40:37,7
16042186763,15220712.0,2017-08-08 17:07:46,7
5337710786,11460176.0,2017-07-30 04:44:09,8
7093097190,11713884.0,2017-08-02 21:51:45,18
16068840888,10433410.0,2017-08-02 10:50:00,17
4893133896,3571139.0,2017-07-25 16:21:39,16
20516900473,12887836.0,2017-08-05 18:40:47,17
17184944201,12814685.0,2017-08-05 13:15:29,24
5463071780,14906229.0,2017-08-08 10:44:30,7
17072270467,16570580.0,2017-08-11 05:21:47,22
1561549442,16762629.0,2017-08-11 17:10:29,16
19551955805,15211651.0,2017-08-08 16:53:48,9
4245502610,12809160.0,2017-08-05 13:12:13,8
19886409799,14700036.0,2017-08-08 07:49:21,38
21796024612,16435991.0,2017-08-10 16:50:18,15
17160678626,10597613.0,2017-07-25 04:52:07,15
12478631738,11421943.0,2017-07-29 15:38:15,22
7902993913,12647388.0,2017-08-05 09:24:54,19
15921835606,10821265.0,2017-07-25 20:53:27,10
11346399169,13544206.0,2017-08-06 22:17:49,7
12750053818,11975327.0,2017-08-03 07:53:58,8
6812622747,6665360.0,2017-07-25 18:07:56,57
17363385032,15736968.0,2017-08-09 10:01:45,13
9158098600,11660844.0,2017-08-03 13:11:56,18
8156280056,12153232.0,2017-08-04 09:56:40,9
14677313817,10677173.0,2017-07-25 11:21:57,15
4319173128,14601028.0,2017-08-08 06:12:25,16
12894144471,7378306.0,2017-07-30 09:55:56,7
11512607128,14839045.0,2017-08-08 09:44:09,31
18325580487,9156472.0,2017-07-31 14:28:41,9
6536649772,14176045.0,2017-08-07 16:35:51,4
9488807067,13408291.0,2017-08-06 19:03:20,10
11586770076,11036298.0,2017-07-26 16:40:07,6
7602301987,16780751.0,2017-08-11 18:32:11,18
21652142707,12683632.0,2017-08-05 10:15:19,8
5649326424,14064440.0,2017-08-07 14:40:55,23
19839784613,13873496.0,2017-08-07 10:52:05,6
19408025761,12187708.0,2017-08-04 11:33:15,4
5955311478,14122563.0,2017-08-07 15:36:17,13
1730068418,15700724.0,2017-08-09 09:08:06,16
605406460,16738761.0,2017-08-11 15:03:05,6
18389210447,14862029.0,2017-08-08 09:54:47,5
5126629551,62543.0,2017-08-06 10:39:08,12
21964345696,12688494.0,2017-08-05 11:06:47,10
13498293061,15930785.0,2017-08-09 15:54:33,9
22603664713,16718429.0,2017-08-11 15:11:31,13
17009002044,16300518.0,2017-08-10 10:45:59,6
3156211616,10644907.0,2017-07-25 09:34:31,5
16268796816,11540841.0,2017-07-30 16:30:42,11
305413481,12382851.0,2017-08-04 21:31:20,13
5073470525,16744065.0,2017-08-11 15:30:21,12
15197874059,12002289.0,2017-08-03 11:16:33,19
7358637687,781014.0,2017-08-03 18:23:56,6
8552740854,11806483.0,2017-08-01 18:24:27,5
3988179093,11484265.0,2017-07-30 09:43:56,21
18515892561,16680196.0,2017-08-11 11:18:43,5
6907154587,16346265.0,2017-08-10 12:58:52,12
4993832519,11283376.0,2017-07-28 07:36:22,31
14890518780,13483210.0,2017-08-06 20:33:46,16
20738048463,11879634.0,2017-08-03 12:58:19,6
20291295911,14721915.0,2017-08-08 08:15:47,11
16064335280,10672532.0,2017-07-25 11:18:09,7
10145574965,11161605.0,2017-08-05 09:51:00,11
17564060308,16262727.0,2017-08-10 09:26:35,9
15923014724,13955266.0,2017-08-07 12:38:50,10
22493032160,10760490.0,2017-07-25 17:27:06,8
18935026897,16035318.0,2017-08-09 19:04:03,6
22927979663,12286716.0,2017-08-04 16:30:42,8
3675206432,4971174.0,2017-07-24 17:54:45,19
22545417581,13987753.0,2017-08-07 13:07:21,3
16176744928,10809552.0,2017-07-25 21:12:59,7
21156167924,14615835.0,2017-08-08 06:28:20,1
14964739067,13444093.0,2017-08-06 19:42:29,11
5175630476,13418899.0,2017-08-06 19:16:58,9
11288177567,16446599.0,2017-08-10 17:24:59,9
1069239548,16501849.0,2017-08-10 20:27:42,11
9879737998,14618708.0,2017-08-08 06:32:52,27
3472537562,10922483.0,2017-07-26 08:18:25,7
14578457057,15195297.0,2017-08-08 16:24:47,24
21795502489,11551449.0,2017-08-08 16:31:13,22
897261970,11831014.0,2017-08-01 21:44:04,9
3735295404,16218085.0,2017-08-10 07:52:19,4
6664168281,13415805.0,2017-08-06 19:08:00,8
16971874041,13141102.0,2017-08-06 12:35:42,11
4847631731,14307761.0,2017-08-07 19:09:00,10
11159675532,16427372.0,2017-08-10 16:33:04,9
17209508132,11444927.0,2017-07-29 20:46:20,6
749468064,7077525.0,2017-08-06 14:30:53,11
18229672258,13741559.0,2017-08-08 05:29:05,10
14724379982,16555773.0,2017-08-11 01:41:25,5
9768689835,10952318.0,2017-07-26 09:55:11,7
10348989081,12609376.0,2017-08-05 09:11:51,23
2125076812,10750103.0,2017-07-25 15:52:48,25
21013694010,6951997.0,2017-08-09 19:08:19,14
18486642771,15373644.0,2017-08-08 20:30:59,6
13924867299,15231541.0,2017-08-08 17:11:26,20
7790153797,16063606.0,2017-08-09 20:06:29,12
12749714775,11442275.0,2017-07-29 20:06:47,8
17315257164,16050788.0,2017-08-09 19:40:51,12
581249790,11539073.0,2017-07-30 16:16:37,2
18889384685,11337521.0,2017-07-28 14:04:53,10
13152046599,10584795.0,2017-07-24 23:53:35,7
22009054039,10663250.0,2017-07-29 21:19:09,5
6309974445,13303537.0,2017-08-06 18:42:13,5
6259124596,7286591.0,2017-07-24 00:17:19,4
6385553503,10369099.0,2017-07-24 08:38:07,6
2726719368,12502633.0,2017-08-05 06:21:31,10
4940844153,13029276.0,2017-08-06 09:24:24,18
5830982724,15343146.0,2017-08-08 19:52:27,15
3175082242,14392625.0,2017-08-07 21:03:53,9
11839869275,2321605.0,2017-07-25 20:00:54,16
21238417580,10751650.0,2017-07-25 16:12:09,10
17756011431,12780430.0,2017-08-05 12:29:00,7
10357096949,14033279.0,2017-08-10 15:33:03,7
11228175466,6710444.0,2017-07-30 14:56:25,12
15370997658,16761524.0,2017-08-11 17:00:55,9
16571419661,15163252.0,2017-08-08 15:39:47,10
11094392355,16338751.0,2017-08-10 12:28:35,4
21569855331,1543243.0,2017-08-04 13:46:39,12
19410248964,13351936.0,2017-08-06 17:49:49,9
10324091742,14532518.0,2017-08-10 20:06:04,6
16204043766,10777065.0,2017-07-25 17:49:49,5
8082838273,11413766.0,2017-07-29 13:41:50,10
21524119762,11722724.0,2017-08-01 01:01:14,8
2631174447,16379857.0,2017-08-10 14:18:22,2
11239661045,8836243.0,2017-07-25 18:07:00,6
5212568499,13434590.0,2017-08-06 19:34:51,5
16485055811,11545040.0,2017-07-30 16:52:42,4
541315258,13474149.0,2017-08-06 20:23:39,12
22875000589,13671502.0,2017-08-07 06:12:00,18
2473323929,2931565.0,2017-07-24 15:30:44,7
6169328548,15864043.0,2017-08-09 13:05:54,15
1936700004,11244480.0,2017-07-27 19:47:13,10
860555235,11158290.0,2017-07-27 09:35:14,7
12468564523,10694190.0,2017-07-25 12:10:10,20
9194733069,15593318.0,2017-08-09 07:04:11,25
1626796578,12257765.0,2017-08-04 14:41:39,7
17786779865,14093170.0,2017-08-07 14:49:20,7
4882967114,11432551.0,2017-07-29 17:53:11,47
6907351352,15791555.0,2017-08-09 11:02:22,2
5857213534,11944608.0,2017-08-02 20:27:56,4
17539001509,11340173.0,2017-07-28 14:46:25,5
7965536272,10723804.0,2017-07-25 14:09:48,21
9082446931,2758522.0,2017-08-07 19:06:17,10
16355391448,13126958.0,2017-08-06 12:14:09,6
4272428802,16252782.0,2017-08-10 09:13:04,6
22013983376,13986206.0,2017-08-07 13:05:25,12
17813335757,16449693.0,2017-08-10 17:27:04,8
16508503782,14197924.0,2017-08-07 17:01:58,14
11739167064,14244555.0,2017-08-07 21:11:22,16
15193505922,15237729.0,2017-08-08 17:20:51,12
3764334376,14537380.0,2017-08-08 04:39:18,8
4046528253,12829934.0,2017-08-05 13:56:33,18
11175924457,11726039.0,2017-08-01 03:58:14,8
17468869334,13397020.0,2017-08-06 18:45:55,11
2340680031,15526576.0,2017-08-09 06:50:34,7
14596663489,11535537.0,2017-07-30 15:27:03,7
9998897134,3406715.0,2017-07-30 09:36:05,8
12897232566,10359596.0,2017-07-24 08:17:29,15
9324373558,8700991.0,2017-07-26 10:18:46,6
13049769532,11854882.0,2017-08-02 08:08:13,7
7708854179,12872366.0,2017-08-05 16:59:20,6
12284180377,13189280.0,2017-08-06 13:48:44,12
14416723127,10453521.0,2017-07-27 09:17:52,10
2318557504,13976924.0,2017-08-07 12:54:51,12
14383982765,14274169.0,2017-08-07 18:25:44,14
12284458010,13736034.0,2017-08-07 07:52:16,4
15069271744,16419416.0,2017-08-10 15:52:37,13
8996424470,10953865.0,2017-07-26 10:04:03,7
4164384117,13168064.0,2017-08-06 13:17:28,4
12742526838,4611386.0,2017-08-02 23:19:26,19
4766159935,11506144.0,2017-07-30 11:00:15,4
2446716816,11746813.0,2017-08-01 08:45:05,5
1811118302,16519529.0,2017-08-10 21:22:49,25
21473529974,11341941.0,2017-07-28 15:23:24,7
14788400620,12009803.0,2017-08-03 11:57:53,5
13968504026,11179948.0,2017-07-27 11:40:18,11
648703730,14134718.0,2017-08-07 15:47:32,4
8121632718,13296023.0,2017-08-11 00:05:34,4
19444886458,15146014.0,2017-08-08 15:25:36,13
20398983015,13037232.0,2017-08-06 09:51:09,12
16269401877,16459417.0,2017-08-10 17:53:14,5
5674535229,9046635.0,2017-07-24 10:46:37,14
10308090849,13192153.0,2017-08-06 13:53:48,16
15165638501,11403600.0,2017-07-29 11:40:33,12
7928622790,14096264.0,2017-08-07 15:00:27,4
15329024498,13997477.0,2017-08-07 13:11:23,8
6475679785,16764618.0,2017-08-11 17:29:51,16
10125093327,11734879.0,2017-08-01 06:46:34,4
19638942173,10280699.0,2017-07-24 00:04:34,12
18305506547,16643068.0,2017-08-11 09:08:08,12
9465349942,501670.0,2017-08-05 08:35:54,17
21033781106,12602967.0,2017-08-05 08:44:09,14
17025111888,16658538.0,2017-08-11 09:53:12,13
16107469342,10506119.0,2017-07-24 17:15:30,6
21350075036,7746934.0,2017-08-04 13:28:33,15
8513154059,15673983.0,2017-08-09 08:37:44,6
17527708348,14035489.0,2017-08-07 13:58:53,4
20060658696,15059161.0,2017-08-08 13:15:53,9
22595808879,11331554.0,2017-07-28 13:05:26,9
17547561005,13890734.0,2017-08-07 11:19:21,9
2196901212,11483381.0,2017-08-06 16:41:45,7
11679113397,12914135.0,2017-08-11 19:30:36,7
3570523496,12311247.0,2017-08-04 17:30:46,14
1276453747,13071045.0,2017-08-06 10:59:15,21
12606115333,11888916.0,2017-08-02 13:58:57,12
13451448409,15716636.0,2017-08-09 09:39:45,11
15405281136,15170545.0,2017-08-08 15:52:17,18
15560495026,15701829.0,2017-08-09 09:08:21,11
6350033683,12112347.0,2017-08-04 07:35:29,17
21673491238,11406031.0,2017-08-03 20:54:04,2
13732768263,12762529.0,2017-08-05 12:05:59,16
1651474773,15024906.0,2017-08-08 12:44:48,13
21468986071,11784383.0,2017-08-01 14:50:56,17
19181744493,12177763.0,2017-08-04 11:08:17,9
4278051750,13027287.0,2017-08-06 09:23:42,6
